date_time,temp,CO2_scaled,CO2_av,CO2_med,Moving,Modelled
1:10:55 AM,331,10372.8737727273,9999,9999,10372.8737727273,10515.5618432542
1:10:58 AM,332,10331.6437727273,10574.25,10143.5,10331.6437727273,10666.1807527517
1:11:01 AM,333,10301.9562727273,11086.0454545455,11053.5,10301.9562727273,10801.8280572411
1:11:04 AM,334,10277.0987727273,10821,10821,10277.0987727273,10898.3940473895
1:11:07 AM,335,10164.4797727273,10633,10633,10164.4797727273,10936.9643036626
1:11:10 AM,336,10034.0797727273,11417.6666666667,11503.5,10034.0797727273,10919.4055657201
1:11:13 AM,337,9866.37977272727,11468.8,11652,9866.37977272727,10852.77986302
1:11:16 AM,338,9705.92977272727,10261,10261,9705.92977272727,10744.1492250205
1:11:19 AM,342,9552.77977272727,10015.5,10015.5,9552.77977272727,10030.8179091904
1:11:22 AM,343,9410.1881060606,9812,9812,9410.1881060606,9815.52283126595
1:11:25 AM,344,9299.37143939394,9710,9710,9299.37143939394,9585.17376299397
1:11:28 AM,345,9150.64227272727,8697.4,9562,9150.64227272727,9331.41150203569
1:11:31 AM,346,8991.44,8980.75,9563.5,8991.44,9045.87684605239
1:11:34 AM,347,8869.29882352941,9260.35,9676,8869.29882352941,8724.96630446879
1:11:37 AM,348,8764.79882352941,8538.5,8538.5,8764.79882352941,8384.09923376333
1:11:40 AM,349,8615.01549019608,8400,8400,8615.01549019608,8043.45070217789
1:11:43 AM,350,8467.02549019608,7105,7105,8467.02549019608,7723.19577795434
1:11:46 AM,354,8383.07549019608,7111,7111,8383.07549019608,7049.61351951667
1:11:49 AM,355,8314.20049019608,7131,7131,8314.20049019608,7125.29312371048
1:11:52 AM,356,8257.40049019608,7181.5,7181.5,8257.40049019608,7290.45955259578
1:11:55 AM,357,8206.43382352941,7782.66666666667,8028,8206.43382352941,7513.33068229276
1:11:58 AM,358,8188.74715686275,7599.66666666667,7357,8188.74715686275,7762.12438892164
1:12:01 AM,359,8148.44365686275,7902,7820,8148.44365686275,8005.05854860259
1:12:04 AM,360,8061.67615686275,8378.17647058824,8233,8061.67615686275,8215.7239155003
1:12:07 AM,361,8031.80115686275,8543,8507.5,8031.80115686275,8389.20275595725
1:12:10 AM,363,7969.95115686275,8422,8422,7969.95115686275,8626.42143509666
1:12:13 AM,366,7958.20115686275,8509,8509,7958.20115686275,8714.72911517384
1:12:16 AM,367,7943.90115686275,8582,8582,7943.90115686275,8674.64682911218
1:12:19 AM,368,7949.27615686275,8638,8638,7949.27615686275,8601.72402826567
1:12:22 AM,369,7941.91782352941,8676,8676,7941.91782352941,8502.21586175747
1:12:25 AM,370,7908.34282352941,8690.66666666667,8696,7908.34282352941,8383.53747965798
1:12:28 AM,371,7890.55234733894,8343.66666666667,8603,7890.55234733894,8253.10403203761
1:12:31 AM,372,7814.15234733894,8174.68,8321,7814.15234733894,8118.33066896678
1:12:34 AM,373,7726.36019047619,7525,7399.5,7726.36019047619,7985.46361696885
1:12:37 AM,375,7652.76313165266,7941,7941,7652.76313165266,7730.56165198543
1:12:40 AM,379,7596.91313165266,7163,7163,7596.91313165266,7275.33132413661
1:12:43 AM,380,7534.66313165266,6870,6870,7534.66313165266,7175.23596054655
1:12:46 AM,381,7465.66313165266,6825,6835,7465.66313165266,7081.42870188165
1:12:49 AM,382,7389.76313165266,7238.5,7238.5,7389.76313165266,6994.94048565761
1:12:52 AM,383,7311.96313165266,7034.33333333333,7320,7311.96313165266,6919.31956430037
